w1,w2,w3,w4,w5,w6,w7,w8
人,国,女,何,男,八,父,学校
日本人,外国,女の子,何事,男の子,八つ,父親,校長
アメリカ人,外国人,女の人,何曜日,男の人,八人,祖父,校舎
百人,中国,女らしい,何も,男らしい,八日,父母,小学校
人々,韓国,女性,何で,男前,八月,伯父,中学校
あの人,大国,少女,何だが,男性,お八つ ,親父,高校
一人,万国,女子,何より,男子,八百屋 ,尊父,高校生
二人,国会,彼女,何でもない,男女,八百長 ,お父さん,高等学校
三人,国際,女優,何とも,長男,八十,祖父母,校庭
大人,国内,王女,何しろ,山男,八つ当たり,父子,登校
女の人,国籍,女神,何分,美男,八丁 ,義父,母校
人間,国民,長女,何となく,男児,十八番 ,父兄,転校 
人口,国家,男女,何か,次男,八方,父祖,校歌
個人,国境,魔女,何やら,男優,十八,父方,校則
友人,国語,美女,何者,大男,八方美人,養父母,開校
人生,全国,女学生,何もない,男っぽい,八幡 ,お父さま ,校門
一,上,三,来る,外,水,北,右
一つ,上がる,三人,将来,海外,水泳 ,北方,左右
一人,上げる,三つ,本来,外国,水道 ,北風,右手
一々,申し上げる,三日,以来,外交,水素,東北,右側
一時,召し上がる,再三,未来,外出,香水,北東,右足
一ページ,差し上げる,三枚,来年,以外,淡水,南北,右上
一分,取り上げる,三日月,来月,意外,水分,北上,右折
一月,持ち上げる,三種,来日,例外,水曜日 ,北海道,右左
一ヶ月,上る,三度,来週,案外,水平,北海,座右
一日,上せる,三月,従来,屋外,水源,敗北,右腕
一日,上手,三角,元来,外科,海水浴,北側,右目
一番,上着,三本,外来,外部,水筒 ,北西,右翼
一緒,以上,三時,来客,外観,噴水 ,真北,右端
一生,屋上,第三者,到来,野外,水準,北面,右下
一度,水上,三振,来す,除外,下水,北口,右傾
一見,川上,三食,来る,外れる,水蒸気,北陸,右舷
日,分かる,前,話,四,天気 ,車,南
一日,分ける,以前,話す,四つ,天才 ,電車,南北
一日,分かれる,前もって,会話,四人,天性,列車,南部
二日,気分,人前,電話,四季,天国,発車,南東
三日,十分,名前,話題,四角,天体,下車,南側
四日,自分,午前,神話,四日,天候,駐車,西南
五日,多分,手前,童話,四国,天然,車庫,南口
六日,半分,前提,世話,四月,晴天,駐車場,指南
日常,水分,前進,対話,四方,雨天,車輪,南方
毎日,部分,当たり前,手話,四本 ,天災,車掌,南海
今日,分析,前後,話し中,四時,天井,汽車,東南
本日,大分,直前,立ち話し,四球,天辺,歯車,南下
休日,身分,腕前,話し手,四つ角 ,楽天的 ,停車,南米
日記,分類,前途,話し合い,四輪車,天文学,乗車,南寄り
母の日,配分,事前,話し合う,四半期 ,先天的,自動車,南極点
明日,引き分け,建前,話しかける,四捨五入,天気予報,自転車,南半球
大きい,生,入り,山,先,木,母,左
大きいさ,生きる,入る,火山,先日,木材,母親 ,左右
大学,生ける,入る,下山,先週,定規 ,母子,左利き
大好き,生かす,入れる,登山,先月,植木 ,生母,左手
大金,生まれる,入学,沢山,先生,並木,母校,左側
大水,生む,入院,鉱山,先輩,木綿 ,祖母,左腕
大人,生える,入浴,氷山,先祖 ,木星,お母さん ,左派
大家,生やす,入場,小山,先ず,木曜日,お祖母さん,左様なら
大切,学生,入手,山々,先頭 ,木工,父母,左足
大使館,先生,入賞,山道,先端 ,庭木,叔母,左折
大分,人生,入力,野山,先ほど,大木,祖父母,左上
大会,生物,入念,閉山,真っ先,樹木 ,母乳,左目
大いに,生命,入会,山林,優先,枯れ木 ,義母,左官
大事,誕生日,入場券,岩山,勤め先 ,木々,母港 ,左記
大変,生活する,入れ物,山脈,先天的,草木,保母,左前
大丈夫,生産する,入口,富士山,先行 ,木の葉 ,母国語,左肩
年,行く,小さい,高い,川,六,半,友
今年,行う,小さな,高校,河川,六つ,半分,友人
毎年,旅行する,小人,最高,小川 ,六日,半島,友情
去年,行動する,大小,高価,川上,六月,半年,友達
来年,急行する,小説,高速,川岸 ,十六日 ,前半,親友
三年生,発行する,小学校,高度,川沿い,十六 ,大半,交友
一年,通行する,小屋,高める,川幅 ,六角形,半端 ,旧友
年間,飛行機,小鳥,高まる,山川,六角堂,半ば,級友
再来年,銀行,小売,高級,川瀬,六大,半球,友好
一昨年,行方,小金,高等,滝川 ,六時,半径,悪友
少年,行先,小麦,高原,谷川 ,六情 ,半数,盟友
青年,行事,小包,高齢,川端,一天地六,半減,戦友
中年,行間,小切手,高熱,川下,六種 ,半額,友愛
定年,一行,小柄,高さ,堀川 ,六百,半値,類友
年代,一行,小銭,残高,川下り,暮れ六つ,半々,真の友
年度,飛行場,小川,名高い,川流れ,六花,半袖,遊び友達
出る,二,後,今,東,万,百,雨
出かける,二つ,後,今日,東方,一万円,百姓,風雨
出す,二人,後ろ,今週,東洋,百万,数百,大雨
出口,二人ずつ,以後,今月,東西,万一,百聞,小雨
思い出す,二つずつ,前後,今年,東北 ,万能 ,三百,梅雨
思い出,二人とも,後者,今後,関東 ,万事,百花,雨戸
出火,二時,後輩,今頃,東京 ,万人,百均,雨天
出入りする,二月,後悔,今度,東部 ,万全,百貨店,雨水
日の出,二日,最後,今朝,南東 ,万物,百選 ,雨具
人出,二日間,後半,今晩,北東 ,万策 ,八百長,雨季
輸出,二十日,後部,今夜,東経 ,万国,百万,雨量
出席,二十歳,午後,今回,東岸 ,万難 ,百景,雨曇
提出する,二番,後期,今に,東向き,万雷,百度,雨降り
出来る,二階,後日,今にも,東京発,万来,百足,雨宿り
引き出し,二つ目,今後,今まで,東証 ,万年 ,百態,雨漏り
引き出す,二割,後れ,今でも,東側 ,万々,百川,雨垂れ
本,間,長い,書く,聞く,白,土,火
日本,時間,校長,書き取り,聞こえる,白い,土地,火災
本日,中間,議長,前書き,聞かす,白紙,国土,火山
一本,人間,社長,書物,聞き取る,白書,土手,火花
二本,間もなく,部長,読書,聞き入る,白人,領土,花火
三本,間に合う,課長,教科書,聞き出す,自白,土台,火薬
本棚,間違い,成長,図書館,聞き取り,空白,お土産,火力
本当,世間,身長,文書,聞き飽きる,告白,土曜日,火曜日
本能,週間,長所,書店,聞き手 ,白状,風土,火遊び
本質,間,延長,秘書,風聞,明白,粘土,火の手
本物,間食,長男,書類,新聞記事 ,潔白 ,本土,火の気
基本,間接的,長女,書評,見聞 ,腕白,全土,火元
本来,瞬間,生長,辞書,醜聞 ,白鳥,土木,火器
日本語,仲間,長期,書籍,聴聞,真っ白 ,土器,火星
本音,昼間,長さ,書道,新聞 ,青白い,出土,火葬
本文,期間,長引く,書斎,新聞紙 ,面白い,土建屋,火事
日本中,一時,下,五,語 ,七,西,毎日
一日中,時々,下,五つ,英語 ,七つ,西洋,毎朝
一年中,日時,下さい,五日,言語,七人,西方,毎週
中国,その時,下りる,五人,物語,七日,関西,毎晩
中学校,時計,下がる,五感,国語,七月,東西,毎月
世界中,時代,下げる,十五,敬語,七十,西瓜,毎年
中止する,時間,下さる,五月,語源,十七,西側,毎度
中級,時,地下鉄,五輪,語彙 ,七夕,大西洋,毎回
背中,時間割,靴下,五分,単語 ,七色,北西,毎時
中心,時刻表,地下,五分,語る,七草,西風,毎秒
集中,時刻,廊下,五目,語学 ,七宝,西南,毎分
中央,当時,以下,五倍 ,用語,七味,西口,毎食
途中,時期,低下,五人組,語気 ,七面鳥,西日,毎々
中間,時差,下宿,五十肩,俗語 ,十七日,西遊,毎期
水中,同時,下痢,五月雨 ,日本語 ,北斗七星,西部,毎号
日中,何時,下手,富士五湖,外国語 ,七不思議,西洋人,毎冬
子供,気,学ぶ,名前,九,円,読む,休む
女の子,人気,学校,名所,九つ,円満,読み,休み
男の子,元気,大学,名物,九日 ,円滑,読書,休める
女子,病気,数学,名人,九月,円柱,読者,休まる
男子,電気,科学,名刺,九人,楕円,購読,一休み
調子,天気,化学,名詞,九重 ,円高,朗読,中休み
様子,本気,医学,名作,十九 ,円安,解読,休日
帽子,空気,学者,名声,九九,一円,読み上げる,休暇
双子,気持ち,留学,名簿,九分,円卓,読本,休憩する
原子,気体,通学する,名画,九天 ,円形,音読,休養する
電子,気圧,学習する,名案,第九 ,円周,読み取る,休講する
子,気分,学期,名札,九折 ,円熟,読みにくい,休止する
息子,気候,学生,名指し,九時,円陣,読み物,休業
親子,吐き気,文学,名古屋,九角形,楕円形,秒読み,休息
お菓子,気に入る,入学,名高い,九生 ,千円札,読み方,休校
分子,気をつけて,語学,有名,九州弁,円相場,読み書き,休会
見る,十,月,金曜日,食,電話,千,午後
見える,十分,先月,金ぱく,食事,電車,一千,午前
見せる,十字路,来月,金もうけ,食堂,電気,三千,午前中
見つかる,十日,今月,金銭,食欲 ,電子,八千,午刻
見つける,二十日,満月,現金,食品,電池,千円,午睡
見分ける,二十歳,月末,奨学金,食料品,電力,何千,真正午
意見,十四日,毎月,金庫,食べ物 ,電柱,千里,午後中
一見,十八日,月曜日,代金,食べる,停電,千切り,午
花見,十月,一月,お金,食料,電球,数千,端午
見物,十一,正月,賃金,食物 ,電波,千円札,亭午
見事,不十分,月賦,預金,食卓 ,電流,千尋,正午
見出し,十年,月謝,基金,食用 ,電灯,千葉県,子午線
見本,十時,月給,送金,食費 ,電線,千倍,午前様
発見する,十字に,年月,貯金,食中毒,電卓,食いちぎる,午年
見学する,何十,月並み,料金,食器,充電,千生り,午後一
見直す,十代,再来月,税金,食う,発電,千秋楽,午前零時