Word,Reading ,Meaning
可能,かのう,"possible, potential"
好き,すき,"liked, well-liked, favourite"
確か,たしか,"sure, certain, positive, definite​"
重要,じゅうよう,"important, momentous, essential"
十分,じゅうぶん,"enough, sufficient, plenty, adequate"
様々,さまざま,"various, varied, diverse, all sorts of​"
嫌,いや,"disagreeable, detestable, unpleasant"
大変,たいへん,"immense, enormous, great​, serious"
簡単,かんたん,"simple, easy, uncomplicated​, brief"
明らか,あきらか,"clear, obvious, evident, plain, bright"
非常,ひじょう,"emergency​, extraordinary, unusual "
大切,たいせつ,"important, necessary, indispensable​"
同様,どうよう,"same, similar, (just) like, equal​"
完全,かんぜん,"perfect, complete​"
大丈夫,だいじょうぶ,"safe, secure, sound"
奇麗,きれい,"pretty, beautiful, clean, clear, tidy, neat "
特別,とくべつ,"special, particular, extraordinary"
大事,だいじ,"important, serious, crucial​, valuable"
有名,ゆうめい,famous​
新た,あらた,"new, fresh, novel​"
相当,そうとう,"appropriate, suitable, befitting"
静か,しずか,"quiet, silent, ​unhurried, calm"
如何,いかが,questionable​
豊か,ゆたか,"abundant, wealthy, plentiful, very, extremely"
明確,めいかく,"clear, precise, definite, distinct​"
有効,ゆうこう,"valid, effective​"
遥か,はるか,"far away, far off, far, distant, long ago"
単純,たんじゅん,"simple, plain, uncomplicated"
確実,かくじつ,"certain, sure, definite, reliable"
残念,ざんねん,"deplorable, regrettable, disappointing"
巨大,きょだい,"huge, gigantic, enormous​"
意外,いがい,"unexpected, surprising​"
立派,りっぱ,"splendid, fine, handsome, elegant"
特殊,とくしゅ,"special, particular, peculiar, unique"
見事,みごと,"splendid, magnificent, excellent, fine"
多様,たよう,"diverse, varied​"
高度,こうど,"high-degree, high-grade"
当たり前,あたりまえ,"natural, reasonable, obvious​, usual, common"
容易,ようい,"easy, simple, plain​"
懸命,けんめい,"eager, earnest, strenuous, fervent"
適切,てきせつ,"appropriate, suitable, fitting"
上手,じょうず,"skillful, skilled, proficient"
同一,どういつ,"identical, same, fair"
独自,どくじ,"original, unique, distinctive"
大好き,だいすき,"loveable, very likeable"
真面目,まじめ,"serious, honest, sober, grave"
必死,ひっし,"frantic, frenetic, desperate​"
素直,すなお,"obedient, meek, docile, unaffected​"
丁寧,ていねい,"polite, courteous, civil​, careful"
幼稚,ようち,"childish, infantile, immature"
主要,しゅよう,"chief, main, principal, major​"
盛ん,さかん,"prosperous, successful​, popular, active"
余計,よけい,"too many, too much, excessive"
直,ちょく,"soon, in a moment, nearby, close "
重大,じゅうだい,"serious, important, significant"
急速,きゅうそく,rapid (e.g. progress)​
曖昧,あいまい,"vague, ambiguous, unclear​"
正式,せいしき,"due form, official"
奇妙,きみょう,"strange, odd, peculiar"
知的,ちてき,intellectual​
微か,かすか,
真っ直ぐ,まっすぐ,
深刻,しんこく,
貴重,きちょう,
微妙,びみょう,
有力,ゆうりょく,
可哀想,かわいそう,
純粋,じゅんすい,
新規,しんき,
穏やか,おだやか,
公的,こうてき,
熱心,ねっしん,
素敵,すてき,
強力,きょうりょく,
法的,ほうてき,
密か,ひそか,
透明,とうめい,
独特,どくとく,
高等,こうとう,
不可欠,ふかけつ,
身近,みぢか,
豊富,ほうふ,
有利,ゆうり,
優秀,ゆうしゅう,
稀,まれ,
活発,かっぱつ,
夢中,むちゅう,
頻繁,ひんぱん,
不要,ふよう,
大幅,おおはば,
滅多,めった,
偉大,いだい,
フル,ふる,
強烈,きょうれつ,
増し,まし,
真っ赤,まっか,
鮮やか,あざやか,
新鮮,しんせん,
不当,ふとう,
急激,きゅうげき,
私的,してき,
肝心,かんじん,
特有,とくゆう,
グローバル,ぐろーばる,
単独,たんどく,
無数,むすう,
適正,てきせい,
巧み,たくみ,
ばらばら,ばらばら,
気の毒,きのどく,
早め,はやめ,
広大,こうだい,
順調,じゅんちょう,
最適,さいてき,
不法,ふほう,
厳密,げんみつ,
大胆,だいたん,
異様,いよう,
柔軟,じゅうなん,
性的,せいてき,
健全,けんぜん,
俄か,にわか,
強引,ごういん,
華やか,はなやか,
別々,べつべつ,
顕著,けんちょ,
的確,てきかく,
スムーズ,すむーず,
丈夫,じょうぶ,
密接,みっせつ,
迅速,じんそく,
シンプル,しんぷる,
忠実,ちゅうじつ,
大袈裟,おおげさ,
緩やか,ゆるやか,
無縁,むえん,
率直,そっちょく,
賑やか,にぎやか,
漠然,ばくぜん,
明白,めいはく,
爽やか,さわやか,
温暖,おんだん,
愚か,おろか,
人的,じんてき,
真っ白,まっしろ,
対等,たいとう,
前向き,まえむき,
露わ,あらわ,
有害,ゆうがい,
惨め,みじめ,
間近,まぢか,
過激,かげき,
器用,きよう,
速やか,すみやか,
気楽,きらく,
ビッグ,びっぐ,
無難,ぶなん,
柔らか,やわらか,
安易,あんい,
陽気,ようき,
著名,ちょめい,
気軽,きがる,
猛烈,もうれつ,
自在,じざい,
然様,さよう,
呆然,ぼうぜん,
簡易,かんい,
真っ暗,まっくら,
上品,じょうひん,
鮮明,せんめい,
同等,どうとう,
明瞭,めいりょう,
密,みつ,
厳格,げんかく,
真っ黒,まっくろ,
端的,たんてき,
粗末,そまつ,
執拗,しつよう,
ぼろぼろ,ぼろぼろ,
滑らか,なめらか,
平ら,たいら,
未熟,みじゅく,
切,せつ,
内的,ないてき,
モダン,もだん,
良好,りょうこう,
一様,いちよう,
平然,へいぜん,
細やか,ささやか,
安価,あんか,
尋常,じんじょう,
頑固,がんこ,
厳重,げんじゅう,
過度,かど,
円滑,えんかつ,
壮大,そうだい,
淡々,たんたん,
格別,かくべつ,
外的,がいてき,
広範,こうはん,
ユニーク,ゆにーく,
猥褻,わいせつ,
劇的,げきてき,
公然,こうぜん,
適度,てきど,
ドライ,どらい,
ハッピー,はっぴー,
単一,たんいつ,
巧妙,こうみょう,
手軽,てがる,
スロー,すろー,
深々,ふかぶか,
露骨,ろこつ,
抜群,ばつぐん,
定か,さだか,
控えめ,ひかえめ,
明快,めいかい,
多彩,たさい,
希薄,きはく,
旺盛,おうせい,
巨額,きょがく,
存分,ぞんぶん,
着実,ちゃくじつ,
細か,こまか,
多大,ただい,
良質,りょうしつ,
唐突,とうとつ,
クール,くーる,
質的,しつてき,
大まか,おおまか,
強硬,きょうこう,
無残,むざん,
裕福,ゆうふく,
大嫌い,だいきらい,
愕然,がくぜん,
謙虚,けんきょ,
濃厚,のうこう,
強固,きょうこ,
暢気,のんき,
悪質,あくしつ,
ロマンチック,ろまんちっく,
不可解,ふかかい,
パブリック,ぱぶりっく,
大きめ,おおきめ,
あからさま,あからさま,
まめ,まめ,
窮屈,きゅうくつ,
確固,かっこ,
朧,おぼろ,
多め,おおめ,
緊密,きんみつ,
無闇,むやみ,
早急,さっきゅう,
冷ややか,ひややか,
怪訝,けげん,
大雑把,おおざっぱ,
物的,ぶってき,
頑丈,がんじょう,
切実,せつじつ,
勇敢,ゆうかん,
格段,かくだん,
気掛かり,きがかり,
盛大,せいだい,
別個,べっこ,
長閑,のどか,
量的,りょうてき,
裏腹,うらはら,
整然,せいぜん,
下品,げひん,
可憐,かれん,
黙々,もくもく,
小まめ,こまめ,
茫然,ぼうぜん,
手頃,てごろ,
混沌,こんとん,
唖然,あぜん,
虚ろ,うつろ,
繁華,はんか,
丹念,たんねん,
高め,たかめ,
天晴,あっぱれ,
簡素,かんそ,
劣等,れっとう,
悠々,ゆうゆう,
大々,だいだい,
美妙,びみょう,
寛大,かんだい,
しなやか,しなやか,
にこやか,にこやか,
利口,りこう,
有数,ゆうすう,
安らか,やすらか,
クリーン,くりーん,
心的,しんてき,
零細,れいさい,
周到,しゅうとう,